repo,groundTruthLinesOfCode,webpackLinesOfCode,ourSolutionLinesOfCode
helper-markdown,34395,10960,233
gonzales-pe-sl,860,106,14
,,,
,,,
,,,
parse-prefer-header,240,253,140
,,,
omit-empty,97,86,6
request-debug,4,3,3
table-parser,1797,81,22
,,,
,,,
esprima-extract-comments,6635,3389,874
add-filename-increment,66,26,10
protobuf.js,687,179,100
,,,
extract-comments,256,154,47
path-extra,30,5,4
redux-promise,24,3,0
,,,
compute-cosine-similarity,102,40,25
grunt-mocha-test,1153,47,26
,,,
propose,222,12,29
radio-symbol,30,8,8
toggle-array,4,3,3
choices-separator,352,7,7
compute-dot,10,6,3
compute-l2norm,10,6,3
fusing,350,84,28
,,,
arr-swap,11,9,9
ps-node,283,69,24
readme-badger,49,25,12
,,,
less-vars-to-js,55,24,0
,,,
,,,
,,,
,,,
decode-bmp,250,5,3
camelo,15,4,4
currency-formatter,4741,391,343
eslint-plugin-you-dont-need-momentjs,36,10,7
httperrors,239,46,22
,,,
sort-by,562,93,47
,,,
empower-assert,631,315,218
,,,
,,,
,,,
,,,
,,,
file-match,234,58,25
,,,
,,,
,,,
assign-deep,24,11,16
,,,
,,,
,,,
delimiter-regex,24,15,16
,,,
,,,
mitm,1141,528,273
os-dns-native,1199,21,23
,,,
html-to-vdom,1469,34,11
github-url-to-object,136,10,8
multiline,10,6,6
passport-openidconnect,2486,6,3
,,,
deep-sort-object,18,8,10
is-valid-element-name,5,4,4
,,,
,,,
,,,
git-repo-version,223,146,113
posthtml-urls,997,66,81
gravatar,3327,103,165
test-results-parser,4864,132,24
strip-bom-buffer,100,15,15
,,,
sanitize-html-react,3932,11,13
,,,
,,,
data-store,168,91,83
,,,
,,,
exec-limiter,97,13,8
,,,
,,,
,,,
,,,
koa-qs,3579,12,7
,,,
object-path-immutable,1364,0,0
,,,
oargv,110,44,27
flowstate,1436,67,52
,,,
execution-time,66,13,47
,,,
,,,
,,,
,,,
has-own-deep,4,3,3
,,,
,,,
,,,
validate,0,37,0
validate.io-array-like,8,4,4
utils-regex-from-string,8,4,5
,,,
,,,
,,,
,,,
co-read,61,40,1
dirty-json,398,25,11
,,,
redis-clustr,2433,17,25
,,,
,,,
,,,
,,,
redux-freeze,65,7,5
postcss-hexrgba,440,140,56
file-is-binary,64,31,9
project-name,59,39,4
,,,
,,,
,,,
is-binary-buffer,751,86,5
,,,
ember-cli-broccoli-sane-watcher,14911,81,24
,,,
engine,32,13,22
,,,
unlazy-loader,4,3,4
,,,
map-schema,1287,0,0
sort-object-arrays,90,14,15
,,,
intercept-stdout,27,10,10
,,,
ml-kernel-gaussian,24,0,0
,,,
,,,
layouts,141,114,24
,,,
,,,
,,,
,,,
,,,
,,,
,,,
jest-text-transformer,0,0,0
,,,
,,,
expand-args,1491,106,6
trim-leading-lines,8,4,7
,,,
,,,
make-unique,43,17,14
expand-object,1106,44,44
to-choices,41,24,18
,,,
elfy,122,35,0
is-answer,96,51,28
,,,
,,,
,,,
ml-convolution,437,3,9
,,,
,,,
,,,
clean,0,13,12
undertaker-forward-reference,22,14,0
extract-banner,14,7,9
,,,
should-http,102,0,0
,,,
,,,
,,,
commons-validator-js,491,93,7
,,,
except,8,6,3
,,,
base-task,708,11,7
shift-regexp-acceptor,759,19,14
,,,
,,,
pa11y-reporter-cli,276,63,60
get-view,42,19,7
maplibre-gl-draw-circle,18271,0,0
,,,
,,,
serverless-api-gateway-caching,483,254,183
company-email-validator,123,0,0
shift-fuzzer,2610,0,0
tableize-object,5,5,5
node-redis-scripty,952,161,54
,,,
,,,
,,,
babel-loader-exclude-node-modules-except,8,5,4
humanize-bytes,67,27,24
deep-bind,36,20,7
,,,
mkdirp-then,234,41,15
,,,
,,,
serverless-api-gateway-throttling,483,254,183
connect-query,2022,193,130
,,,
,,,
,,,
,,,
finished,0,31,16
,,,
rework-plugin-function,17,7,1
,,,
textlint-rule-preset-ja-technical-writing,11851,0,0
,,,
,,,
simulate-event,106,0,0
,,,
package-json-versionify,24,19,7
,,,
hexo-generator-category,62,42,16
,,,
hexo-generator-archive,0,43,18
emailjs-utf7,246,53,9
,,,
rework-plugin-url,45,36,5
,,,
,,,
passport-cookie,9,6,3
,,,
,,,
sort-pjson,80,0,0
,,,
is-array-like,59,15,14
,,,
,,,
,,,
,,,
lasso-package-root,134,0,0
hexo-renderer-ejs,1980,179,165
,,,
json5-jest,3680,685,204
,,,
,,,
,,,
,,,
,,,
rollup-plugin-sizes,534,72,51
,,,
,,,
babel-preset-es2015-rollup,116,11,17
,,,
gfm-code-blocks,4,3,4
,,,
,,,
chai-colors,936,366,91
babel-plugin-auto-import,5818,3,3
,,,
remark-hbs,41,18,22
jwt-builder,119,66,19
,,,
,,,
,,,
,,,
,,,
chartjs-test-utils,159,88,0
function-double,17,10,3
,,,
gulp-multi-process,6569,0,0
,,,
defaulty,60,18,7
undoo,627,100,83
,,,
,,,
,,,
lost,65,30,1
mktmpdir,235,100,21
,,,
last-commit-log,128,20,15
,,,
flatley,4,3,3
wdio-mochawesome-reporter,791,0,0
qs-middleware,2022,193,130
googlemaps,6547,338,133
rocambole-strip-alert,14,8,2
is-dotdir,4,3,4
newman-reporter-slackmsg,9206,50,42
dotgitconfig,168,0,0
z-schema-errors,106,8,10
,,,
validate.io-object,5,3,0
,,,
,,,
koa-locale,126,28,10
,,,
,,,
rudy-match-path,333,115,2
onedrive-api,3046,4,3
,,,
,,,
babel-plugin-dotenv-import,110,44,41
capture-console,552,111,65
check-export-map,545,80,103
argle,65,29,24
markdown-utils,51,23,12
json-parse-context,1636,330,292
,,,
,,,
,,,
access-control,301,103,24
,,,
,,,
parse-data-url,16,9,11
pbkdf2-password,380,83,12
list-it,0,105,46
,,,
url-assembler,0,244,215
,,,
npe,1152,66,35
find-exec,479,77,13
jsx-runtime,30,18,1
sort-by-value,27,18,13
mongoose-timestamp,38,6,8
,,,
,,,
,,,
,,,
,,,
chai-almost,909,205,67
,,,
,,,
,,,
,,,
,,,
create-server,56,8,8
strong-data-uri,128,18,21
,,,
,,,
sort-media-queries,106,8,10
,,,
,,,
,,,
super-error,0,23,19
nicely-format,371,229,30
,,,
,,,
,,,
pure-render-decorator,2614,0,0
,,,
is-present,55,4,5
,,,
jspm-github,477,0,0
,,,
,,,
,,,
,,,
koa-ejs,2502,179,111
xunit-file,248,119,44
,,,
fs-mode,37,17,6
cbify,39,22,4
wink-distance,333,133,31
,,,
mojangson,1383,238,5
,,,
promise-props-recursive,39,19,25
,,,
mdx,651,191,117
change-case-object,19,15,17
,,,
hmpo-model,3411,229,121
,,,
,,,
,,,
,,,
,,,
json-schema-for-openapi,2230,407,205
express-response-size,52,26,9
,,,
loads,275,51,19
deep-filter,18,8,10
,,,
,,,
whois-json,592,0,0
restify-cookies,105,0,0
,,,
superagent-use,122,39,14
,,,
,,,
,,,
,,,
fetch-base64,0,43,37
,,,
es7-object-polyfill,7265,3,1
,,,
robloach-datfile,48,27,3
jsonbird,2322,85,64
,,,
nodemailer-mandrill-transport,1723,126,149
,,,
trigram-similarity,0,0,0
metalsmith-permalinks,125,23,23
,,,
ascii-tree,148,0,0
,,,
ml-hclust,10111,14,0
,,,
,,,
,,,
,,,
,,,
express-socket.io-session,669,39,15
,,,
sorted-joyo-kanji,215,68,82
,,,
,,,
,,,
,,,
rewrite-ext,42,33,30
,,,
,,,
prebuild-webpack-plugin,0,311,9
first-base,246,2,4
,,,
esformatter-literal-notation,8049,234,69
MD5,124,72,37
csv2geojson,1850,85,28
statman-stopwatch,1278,15,6
cacheman,156,60,4
eslint-plugin-destructuring,27,16,2
git-user-name,114,80,31
,,,
,,,
,,,
consent-string,124,32,53
,,,
is-affirmative,52,1,1
,,,
inspect.js,115,31,33
,,,
memoize-bind,76,53,10
javascript-brunch,6294,3161,850
creature-features,650,10,17
,,,
os-locale-s-fix,30,1,1
,,,
ab-testing,334,4,5
lookup-path,365,11,4
,,,
,,,
vdom-to-html,153,41,39
koa-rewrite-75lb,1260,0,0
,,,
get-pkg,1557,23,21
,,,
os-locale-s,30,1,1
,,,
superagent-mocker,241,118,61
,,,
,,,
,,,
,,,
,,,
,,,
callback-count,35,6,3
